INSURER_Name,EstablishDate,ManagerName1,ManagerName2,Tel,Fax,FreeLine,Address,WebAddress,Email
兆豐產物保險股份有限公司,1931-11-01,梁正德,游建烽,02-23812727,02-23814878,0800-053588,台北市中正區武昌街一段58號,www.cki.com.tw,ckibest@mail.cki.com.tw
臺灣產物保險股份有限公司,1948-03-12,李泰宏,宋道平,(02)2382-1666,(02)2388-2555,0809-068888 ,臺北市館前路49號8-9樓,http://www.tfmi.com.tw,tfmi@tfmi.com.tw
富邦產物保險股份有限公司,1961-04-19,陳伯燿,羅建明,6636-7890,2325-4723,0800-009-888,台北市大安區建國南路一段237號,www.fubon.com,518service@fubon.com
和泰產物保險股份有限公司,1961-04-26,張永固,,02-21815000,02-21815099,0800501888,台北市中山區松江路126號13樓,www.hotains.com.tw,service@hotains.com.tw
泰安產物保險股份有限公司,1961-04-26,李松季,周文凱,02-23819678,02-23116990,0800012080,台北市館前路59號,www.taian.com.tw,eservice@mail.taian.com.tw
明台產物保險股份有限公司,1961-09-22,長瀬耕一,陳嘉文,02 27725678,02 2772 6666,0800-099-080 ,台北市仁愛路四段1號,http://www.msig-mingtai.com.tw/,corp.planning@msig-mingtai.com.tw
南山產物保險股份有限公司,1962-02-26,陳棠,蔡漢凌,02-23161188,02-23811689,0800-024889,110台北市中正區忠孝西路一段6號15、17、18及19樓,http://www.nanshangeneral.com.tw/,info@nsgeneral.com.tw
第一產物保險股份有限公司,1962-09-04,李正漢,呂秋敏,23913271,23412864,0800288068,台北市忠孝東路一段54號,www.firstins.com.tw,finance@firstins.com.tw
旺旺友聯產物保險股份有限公司,1963-02-20,洪吉雄,劉自明,02-27765567,02-27118610,0800-024-024,台北市大安區忠孝東路四段219號12樓,http://www.wwunion.com/,info@wwunion.com
華南產物保險股份有限公司,1963-04-11,吳崇權,凃志佶,(02)2758-8418,(02)2729-8022,0800-010850,台北市忠孝東路四段560號5樓,www.south-china.com.tw,ecover@scins.com.tw
